mac_address,device,identifier,bluetooth_id
00:00:01:00:80:16,008016,<16800001 0000>,200
00:00:08:00:00:03,800003,<03000008 0000>,200
00:00:08:00:00:0F,80000F,<0f000008 0000>,200
00:00:08:00:00:01,800001,<01000008 0000>,200
00:00:08:00:00:02,800002,<02000008 0000>,200
00:00:08:00:00:04,800004,<04000008 0000>,200
00:00:08:00:00:05,800005,<05000008 0000>,200
00:00:08:00:00:06,800006,<06000008 0000>,200
00:00:08:00:00:07,800007,<07000008 0000>,200
00:00:08:00:00:08,800008,<08000008 0000>,200
00:00:08:00:00:09,800009,<09000008 0000>,200
00:00:08:00:00:10,800010,<10000008 0000>,200
00:00:08:00:00:11,800011,<11000008 0000>,200
00:00:08:00:00:12,800012,<12000008 0000>,200
00:00:08:00:00:13,800013,<13000008 0000>,200
00:00:08:00:00:14,800014,<14000008 0000>,200
00:00:08:00:00:15,800015,<15000008 0000>,200
00:00:08:00:00:0A,80000A,<0a000008 0000>,200
00:00:08:00:00:0B,80000B,<0b000008 0000>,200
00:00:08:00:00:0C,80000C,<0c000008 0000>,200
00:00:08:00:00:0D,80000D,<0d000008 0000>,200
00:00:08:00:00:0E,80000E,<0e000008 0000>,200
00:00:08:00:00:64,8000064,<64000008 0000>,200
00:00:08:00:00:65,8000065,<65000008 0000>,200
00:00:08:00:00:66,8000066,<66000008 0000>,200
00:00:08:00:00:67,8000067,<67000008 0000>,200
00:00:08:00:00:68,8000068,<68000008 0000>,200
00:00:08:00:00:69,8000069,<69000008 0000>,200
00:00:08:00:00:6A,800006A,<6a000008 0000>,200
00:00:08:00:00:6B,800006B,<6b000008 0000>,200
00:00:08:00:00:6C,800006C,<6c000008 0000>,200
00:00:08:00:00:6D,800006D,<6d000008 0000>,200
00:00:08:00:00:6E,800006E,<6e000008 0000>,200
00:00:08:00:00:6F,800006F,<6f000008 0000>,200
00:00:08:00:00:70,8000070,<70000008 0000>,200
00:00:08:00:00:71,8000071,<71000008 0000>,200
00:00:08:00:00:72,8000072,<72000008 0000>,200
00:00:08:00:00:73,8000073,<73000008 0000>,200
00:00:08:00:00:74,8000074,<74000008 0000>,200
00:00:08:00:00:75,8000075,<75000008 0000>,200
00:00:08:00:00:76,8000076,<76000008 0000>,200
00:00:08:00:00:77,8000077,<77000008 0000>,200
00:00:08:00:00:78,8000078,<78000008 0000>,200
00:00:08:00:00:79,8000079,<79000008 0000>,200
00:00:08:00:00:7A,800007A,<7a000008 0000>,200
00:00:08:00:00:7B,800007B,<7b000008 0000>,200
00:00:08:00:00:7C,800007C,<7c000008 0000>,200
00:00:08:00:00:7D,800007D,<7d000008 0000>,200
00:00:08:00:00:7E,800007E,<7e000008 0000>,200
00:00:08:00:00:7F,800007F,<7f000008 0000>,200
00:00:08:00:00:80,8000080,<80000008 0000>,200
00:00:08:00:00:81,8000081,<81000008 0000>,200
00:00:08:00:00:82,8000082,<82000008 0000>,200
00:00:08:00:00:83,8000083,<83000008 0000>,200
00:00:08:00:00:84,8000084,<84000008 0000>,200
00:00:08:00:00:85,8000085,<85000008 0000>,200
00:00:08:00:00:86,8000086,<86000008 0000>,200
00:00:08:00:00:87,8000087,<87000008 0000>,200
00:00:08:00:00:88,8000088,<88000008 0000>,200
00:00:08:00:00:89,8000089,<89000008 0000>,200
00:00:08:00:00:8A,800008A,<8a000008 0000>,200
00:00:08:00:00:8B,800008B,<8b000008 0000>,200
00:00:08:00:00:8C,800008C,<8c000008 0000>,200
00:00:08:00:00:8D,800008D,<8d000008 0000>,200
00:00:08:00:00:8E,800008E,<8e000008 0000>,200
00:00:08:00:00:8F,800008F,<8f000008 0000>,200
00:00:08:00:00:90,8000090,<90000008 0000>,200
00:00:08:00:00:91,8000091,<91000008 0000>,200
00:00:08:00:00:92,8000092,<92000008 0000>,200
00:00:08:00:00:93,8000093,<93000008 0000>,200
00:00:08:00:00:94,8000094,<94000008 0000>,200
00:00:08:00:00:95,8000095,<95000008 0000>,200
00:00:08:00:00:96,8000096,<96000008 0000>,200
00:00:08:00:00:97,8000097,<97000008 0000>,200
00:00:08:00:00:98,8000098,<98000008 0000>,200
00:00:08:00:00:99,8000099,<99000008 0000>,200
00:00:08:00:00:9A,800009A,<9a000008 0000>,200
00:00:08:00:00:9B,800009B,<9b000008 0000>,200
00:00:08:00:00:9C,800009C,<9c000008 0000>,200
00:00:08:00:00:9D,800009D,<9d000008 0000>,200
00:00:08:00:00:9E,800009E,<9e000008 0000>,200
00:00:08:00:00:9F,800009F,<9f000008 0000>,200
00:00:08:00:00:A0,80000A0,<a0000008 0000>,200
00:00:08:00:00:A1,80000A1,<a1000008 0000>,200
00:00:08:00:00:A2,80000A2,<a2000008 0000>,200
00:00:08:00:00:A3,80000A3,<a3000008 0000>,200
00:00:08:00:00:A4,80000A4,<a4000008 0000>,200
00:00:08:00:00:A5,80000A5,<a5000008 0000>,200
00:00:08:00:00:A6,80000A6,<a6000008 0000>,200
00:00:08:00:00:A7,80000A7,<a7000008 0000>,200
00:00:08:00:00:A8,80000A8,<a8000008 0000>,200
00:00:08:00:00:A9,80000A9,<a9000008 0000>,200
00:00:08:00:00:AA,80000AA,<aa000008 0000>,200
00:00:08:00:00:AB,80000AB,<ab000008 0000>,200
00:00:08:00:00:AC,80000AC,<ac000008 0000>,200
00:00:08:00:00:AD,80000AD,<ad000008 0000>,200
00:00:08:00:00:AE,80000AE,<ae000008 0000>,200
00:00:08:00:00:AF,80000AF,<af000008 0000>,200
00:00:08:00:00:B0,80000B0,<b0000008 0000>,200
00:00:08:00:00:B1,80000B1,<b1000008 0000>,200
00:00:08:00:00:B2,80000B2,<b2000008 0000>,200
00:00:08:00:00:B3,80000B3,<b3000008 0000>,200
00:00:08:00:00:B4,80000B4,<b4000008 0000>,200
00:00:08:00:00:B5,80000B5,<b5000008 0000>,200
00:00:08:00:00:B6,80000B6,<b6000008 0000>,200
00:00:08:00:00:B7,80000B7,<b7000008 0000>,200
00:00:08:00:00:B8,80000B8,<b8000008 0000>,200
00:00:08:00:00:B9,80000B9,<b9000008 0000>,200
00:00:08:00:00:BA,80000BA,<ba000008 0000>,200
00:00:08:00:00:BB,80000BB,<bb000008 0000>,200
00:00:08:00:00:BC,80000BC,<bc000008 0000>,200
00:00:08:00:00:BD,80000BD,<bd000008 0000>,200
00:00:08:00:00:BE,80000BE,<be000008 0000>,200
00:00:08:00:00:BF,80000BF,<bf000008 0000>,200
00:00:08:00:00:C0,80000C0,<c0000008 0000>,200
00:00:08:00:00:C1,80000C1,<c1000008 0000>,200
00:00:08:00:00:C2,80000C2,<c2000008 0000>,200
00:00:08:00:00:C3,80000C3,<c3000008 0000>,200
00:00:08:00:00:C4,80000C4,<c4000008 0000>,200
00:00:08:00:00:C5,80000C5,<c5000008 0000>,200
00:00:08:00:00:C6,80000C6,<c6000008 0000>,200
00:00:08:00:00:C7,80000C7,<c7000008 0000>,200
00:00:08:00:00:C8,80000C8,<c8000008 0000>,200
00:00:08:00:00:C9,80000C9,<c9000008 0000>,200
00:00:08:00:00:CA,80000CA,<ca000008 0000>,200
00:00:08:00:00:CB,80000CB,<cb000008 0000>,200
00:00:08:00:00:CC,80000CC,<cc000008 0000>,200
00:00:08:00:00:CD,80000CD,<cd000008 0000>,200
00:00:08:00:00:CE,80000CE,<ce000008 0000>,200
00:00:08:00:00:CF,80000CF,<cf000008 0000>,200
00:00:08:00:00:D0,80000D0,<d0000008 0000>,200
00:00:08:00:00:D1,80000D1,<d1000008 0000>,200
00:00:08:00:00:D2,80000D2,<d2000008 0000>,200
00:00:08:00:00:D3,80000D3,<d3000008 0000>,200
00:00:08:00:00:D4,80000D4,<d4000008 0000>,200
00:00:08:00:00:D5,80000D5,<d5000008 0000>,200
00:00:08:00:00:D6,80000D6,<d6000008 0000>,200
00:00:08:00:00:D7,80000D7,<d7000008 0000>,200
00:00:08:00:00:D8,80000D8,<d8000008 0000>,200
00:00:08:00:00:D9,80000D9,<d9000008 0000>,200
00:00:08:00:00:DA,80000DA,<da000008 0000>,200
00:00:08:00:00:DB,80000DB,<db000008 0000>,200
00:00:08:00:00:DC,80000DC,<dc000008 0000>,200
00:00:08:00:00:DD,80000DD,<dd000008 0000>,200
00:00:08:00:00:DE,80000DE,<de000008 0000>,200
00:00:08:00:00:DF,80000DF,<df000008 0000>,200
00:00:08:00:00:E0,80000E0,<e0000008 0000>,200
00:00:08:00:00:E1,80000E1,<e1000008 0000>,200
00:00:08:00:00:E2,80000E2,<e2000008 0000>,200
00:00:08:00:00:E3,80000E3,<e3000008 0000>,200
00:00:08:00:00:E4,80000E4,<e4000008 0000>,200
00:00:08:00:00:E5,80000E5,<e5000008 0000>,200
00:00:08:00:00:E6,80000E6,<e6000008 0000>,200
00:00:08:00:00:E7,80000E7,<e7000008 0000>,200
00:00:08:00:00:E8,80000E8,<e8000008 0000>,200
00:00:08:00:00:E9,80000E9,<e9000008 0000>,200
00:00:08:00:00:EA,80000EA,<ea000008 0000>,200
00:00:08:00:00:EB,80000EB,<eb000008 0000>,200
00:00:08:00:00:EC,80000EC,<ec000008 0000>,200
00:00:08:00:00:ED,80000ED,<ed000008 0000>,200
00:00:08:00:00:EE,80000EE,<ee000008 0000>,200
00:00:08:00:00:EF,80000EF,<ef000008 0000>,200
00:00:08:00:00:F0,80000F0,<f0000008 0000>,200
00:00:08:00:00:F1,80000F1,<f1000008 0000>,200
00:00:08:00:00:F2,80000F2,<f2000008 0000>,200
00:00:08:00:00:F3,80000F3,<f3000008 0000>,200
00:00:08:00:00:F4,80000F4,<f4000008 0000>,200
00:00:08:00:00:F5,80000F5,<f5000008 0000>,200
00:00:08:00:00:F6,80000F6,<f6000008 0000>,200
00:00:08:00:00:F7,80000F7,<f7000008 0000>,200
00:00:08:00:00:F8,80000F8,<f8000008 0000>,200
00:00:08:00:00:F9,80000F9,<f9000008 0000>,200
00:00:08:00:00:FA,80000FA,<fa000008 0000>,200
00:00:08:00:00:FB,80000FB,<fb000008 0000>,200
00:00:08:00:00:FC,80000FC,<fc000008 0000>,200
00:00:08:00:00:FD,80000FD,<fd000008 0000>,200
00:00:08:00:00:FE,80000FE,<fe000008 0000>,200
00:00:08:00:00:FF,80000FF,<ff000008 0000>,200
00:00:08:00:01:00,8000100,<00010008 0000>,200
00:00:08:00:01:01,8000101,<01010008 0000>,200
00:00:08:00:01:02,8000102,<02010008 0000>,200
00:00:08:00:01:03,8000103,<03010008 0000>,200
00:00:08:00:01:04,8000104,<04010008 0000>,200
00:00:08:00:01:05,8000105,<05010008 0000>,200
00:00:08:00:01:06,8000106,<06010008 0000>,200
00:00:08:00:01:07,8000107,<07010008 0000>,200
00:00:08:00:01:08,8000108,<08010008 0000>,200
00:00:08:00:01:09,8000109,<09010008 0000>,200
00:00:08:00:01:0A,800010A,<0a010008 0000>,200
00:00:08:00:01:0B,800010B,<0b010008 0000>,200
00:00:08:00:01:0C,800010C,<0c010008 0000>,200
00:00:08:00:01:0D,800010D,<0d010008 0000>,200
00:00:08:00:01:0E,800010E,<0e010008 0000>,200
00:00:08:00:01:0F,800010F,<0f010008 0000>,200
00:00:08:00:01:10,8000110,<10010008 0000>,200
00:00:08:00:01:11,8000111,<11010008 0000>,200
00:00:08:00:01:12,8000112,<12010008 0000>,200
00:00:08:00:01:13,8000113,<13010008 0000>,200
00:00:08:00:01:14,8000114,<14010008 0000>,200
00:00:08:00:01:15,8000115,<15010008 0000>,200
00:00:08:00:01:16,8000116,<16010008 0000>,200
00:00:08:00:01:17,8000117,<17010008 0000>,200
00:00:08:00:01:18,8000118,<18010008 0000>,200
00:00:08:00:01:19,8000119,<19010008 0000>,200
00:00:08:00:01:1A,800011A,<1a010008 0000>,200
00:00:08:00:01:1B,800011B,<1b010008 0000>,200
00:00:08:00:01:1C,800011C,<1c010008 0000>,200
00:00:08:00:01:1D,800011D,<1d010008 0000>,200
00:00:08:00:01:1E,800011E,<1e010008 0000>,200
00:00:08:00:01:1F,800011F,<1f010008 0000>,200
00:00:08:00:01:20,8000120,<20010008 0000>,200
00:00:08:00:01:21,8000121,<21010008 0000>,200
00:00:08:00:01:22,8000122,<22010008 0000>,200
00:00:08:00:01:23,8000123,<23010008 0000>,200
00:00:08:00:01:24,8000124,<24010008 0000>,200
00:00:08:00:01:25,8000125,<25010008 0000>,200
00:00:08:00:01:26,8000126,<26010008 0000>,200
00:00:08:00:01:27,8000127,<27010008 0000>,200
00:00:08:00:01:28,8000128,<28010008 0000>,200
00:00:08:00:01:29,8000129,<29010008 0000>,200
00:00:08:00:01:2A,800012A,<2a010008 0000>,200
00:00:08:00:01:2B,800012B,<2b010008 0000>,200
00:00:08:00:01:2C,800012C,<2c010008 0000>,200
00:00:08:00:01:2D,800012D,<2d010008 0000>,200
00:00:08:00:01:2E,800012E,<2e010008 0000>,200
00:00:08:00:01:2F,800012F,<2f010008 0000>,200
00:00:08:00:01:30,8000130,<30010008 0000>,200
00:00:08:00:01:31,8000131,<31010008 0000>,200
00:00:08:00:01:32,8000132,<32010008 0000>,200
00:00:08:00:01:33,8000133,<33010008 0000>,200
00:00:08:00:01:34,8000134,<34010008 0000>,200
00:00:08:00:01:35,8000135,<35010008 0000>,200
00:00:08:00:01:36,8000136,<36010008 0000>,200
00:00:08:00:01:37,8000137,<37010008 0000>,200
00:00:08:00:01:38,8000138,<38010008 0000>,200
00:00:08:00:01:39,8000139,<39010008 0000>,200
00:00:08:00:01:3A,800013A,<3a010008 0000>,200
00:00:08:00:01:3B,800013B,<3b010008 0000>,200
00:00:08:00:01:3C,800013C,<3c010008 0000>,200
00:00:08:00:01:3D,800013D,<3d010008 0000>,200
00:00:08:00:01:3E,800013E,<3e010008 0000>,200
00:00:08:00:01:3F,800013F,<3f010008 0000>,200
00:00:08:00:01:40,8000140,<40010008 0000>,200
00:00:08:00:01:41,8000141,<41010008 0000>,200
00:00:08:00:01:42,8000142,<42010008 0000>,200
00:00:08:00:01:43,8000143,<43010008 0000>,200
00:00:08:00:01:44,8000144,<44010008 0000>,200
00:00:08:00:01:45,8000145,<45010008 0000>,200
00:00:08:00:01:46,8000146,<46010008 0000>,200
00:00:08:00:01:47,8000147,<47010008 0000>,200
00:00:08:00:01:48,8000148,<48010008 0000>,200
00:00:08:00:01:49,8000149,<49010008 0000>,200
00:00:08:00:01:4A,800014A,<4a010008 0000>,200
00:00:08:00:01:4B,800014B,<4b010008 0000>,200
00:00:08:00:01:4C,800014C,<4c010008 0000>,200
00:00:08:00:01:4D,800014D,<4d010008 0000>,200
00:00:08:00:01:4E,800014E,<4e010008 0000>,200
00:00:08:00:01:4F,800014F,<4f010008 0000>,200
00:00:08:00:01:50,8000150,<50010008 0000>,200
00:00:08:00:01:51,8000151,<51010008 0000>,200
00:00:08:00:01:52,8000152,<52010008 0000>,200
00:00:08:00:01:53,8000153,<53010008 0000>,200
00:00:08:00:01:54,8000154,<54010008 0000>,200
00:00:08:00:01:55,8000155,<55010008 0000>,200
00:00:08:00:01:56,8000156,<56010008 0000>,200
00:00:08:00:01:57,8000157,<57010008 0000>,200
00:00:08:00:01:58,8000158,<58010008 0000>,200
00:00:08:00:01:59,8000159,<59010008 0000>,200
00:00:08:00:01:5A,800015A,<5a010008 0000>,200
00:00:08:00:01:5B,800015B,<5b010008 0000>,200
00:00:08:00:01:5C,800015C,<5c010008 0000>,200
00:00:08:00:01:5D,800015D,<5d010008 0000>,200
00:00:08:00:01:5E,800015E,<5e010008 0000>,200
00:00:08:00:01:5F,800015F,<5f010008 0000>,200
00:00:08:00:01:60,8000160,<60010008 0000>,200
00:00:08:00:01:61,8000161,<61010008 0000>,200
00:00:08:00:01:62,8000162,<62010008 0000>,200
00:00:08:00:01:63,8000163,<63010008 0000>,200
00:00:08:00:01:64,8000164,<64010008 0000>,200
00:00:08:00:01:65,8000165,<65010008 0000>,200
00:00:08:00:01:66,8000166,<66010008 0000>,200
00:00:08:00:01:67,8000167,<67010008 0000>,200
00:00:08:00:01:68,8000168,<68010008 0000>,200
00:00:08:00:01:69,8000169,<69010008 0000>,200
00:00:08:00:01:6A,800016A,<6a010008 0000>,200
00:00:08:00:01:6B,800016B,<6b010008 0000>,200
00:00:08:00:01:6C,800016C,<6c010008 0000>,200
00:00:08:00:01:6D,800016D,<6d010008 0000>,200
00:00:08:00:01:6E,800016E,<6e010008 0000>,200
00:00:08:00:01:6F,800016F,<6f010008 0000>,200
00:00:08:00:01:70,8000170,<70010008 0000>,200
00:00:08:00:01:71,8000171,<71010008 0000>,200
00:00:08:00:01:72,8000172,<72010008 0000>,200
00:00:08:00:01:73,8000173,<73010008 0000>,200
00:00:08:00:01:74,8000174,<74010008 0000>,200
00:00:08:00:01:75,8000175,<75010008 0000>,200
00:00:08:00:01:76,8000176,<76010008 0000>,200
00:00:08:00:01:77,8000177,<77010008 0000>,200
00:00:08:00:01:78,8000178,<78010008 0000>,200
00:00:08:00:01:79,8000179,<79010008 0000>,200
00:00:08:00:01:7A,800017A,<7a010008 0000>,200
00:00:08:00:01:7B,800017B,<7b010008 0000>,200
00:00:08:00:01:7C,800017C,<7c010008 0000>,200
00:00:08:00:01:7D,800017D,<7d010008 0000>,200
00:00:08:00:01:7E,800017E,<7e010008 0000>,200
00:00:08:00:01:7F,800017F,<7f010008 0000>,200
00:00:08:00:01:80,8000180,<80010008 0000>,200
00:00:08:00:01:81,8000181,<81010008 0000>,200
00:00:08:00:01:82,8000182,<82010008 0000>,200
00:00:08:00:01:83,8000183,<83010008 0000>,200
00:00:08:00:01:84,8000184,<84010008 0000>,200
00:00:08:00:01:85,8000185,<85010008 0000>,200
00:00:08:00:01:86,8000186,<86010008 0000>,200
00:00:08:00:01:87,8000187,<87010008 0000>,200
00:00:08:00:01:88,8000188,<88010008 0000>,200
00:00:08:00:01:89,8000189,<89010008 0000>,200
00:00:08:00:01:8A,800018A,<8a010008 0000>,200
00:00:08:00:01:8B,800018B,<8b010008 0000>,200
00:00:08:00:01:8C,800018C,<8c010008 0000>,200
00:00:08:00:01:8D,800018D,<8d010008 0000>,200
00:00:08:00:01:8E,800018E,<8e010008 0000>,200
00:00:08:00:01:8F,800018F,<8f010008 0000>,200
00:00:08:00:01:90,8000190,<90010008 0000>,200
00:00:08:00:01:91,8000191,<91010008 0000>,200
00:00:08:00:01:92,8000192,<92010008 0000>,200
00:00:08:00:01:93,8000193,<93010008 0000>,200
00:00:08:00:01:94,8000194,<94010008 0000>,200
00:00:08:00:01:95,8000195,<95010008 0000>,200
00:00:08:00:01:96,8000196,<96010008 0000>,200
00:00:08:00:01:97,8000197,<97010008 0000>,200
00:00:08:00:01:98,8000198,<98010008 0000>,200
00:00:08:00:01:99,8000199,<99010008 0000>,200
00:00:08:00:01:9A,800019A,<9a010008 0000>,200
00:00:08:00:01:9B,800019B,<9b010008 0000>,200
00:00:08:00:01:9C,800019C,<9c010008 0000>,200
00:00:08:00:01:9D,800019D,<9d010008 0000>,200
00:00:08:00:01:9E,800019E,<9e010008 0000>,200
00:00:08:00:01:9F,800019F,<9f010008 0000>,200
00:00:08:00:01:A0,80001A0,<a0010008 0000>,200
00:00:08:00:01:A1,80001A1,<a1010008 0000>,200
00:00:08:00:01:A2,80001A2,<a2010008 0000>,200
00:00:08:00:01:A3,80001A3,<a3010008 0000>,200
00:00:08:00:01:A4,80001A4,<a4010008 0000>,200
00:00:08:00:01:A5,80001A5,<a5010008 0000>,200
00:00:08:00:01:A6,80001A6,<a6010008 0000>,200
00:00:08:00:01:A7,80001A7,<a7010008 0000>,200
00:00:08:00:01:A8,80001A8,<a8010008 0000>,200
00:00:08:00:01:A9,80001A9,<a9010008 0000>,200
00:00:08:00:01:AA,80001AA,<aa010008 0000>,200
00:00:08:00:01:AB,80001AB,<ab010008 0000>,200
00:00:08:00:01:AC,80001AC,<ac010008 0000>,200
00:00:08:00:01:AD,80001AD,<ad010008 0000>,200
00:00:08:00:01:AE,80001AE,<ae010008 0000>,200
00:00:08:00:01:AF,80001AF,<af010008 0000>,200
00:00:08:00:01:B0,80001B0,<b0010008 0000>,200
00:00:08:00:01:B1,80001B1,<b1010008 0000>,200
00:00:08:00:01:B2,80001B2,<b2010008 0000>,200
00:00:08:00:01:B3,80001B3,<b3010008 0000>,200
00:00:08:00:01:B4,80001B4,<b4010008 0000>,200
